GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
1600000US0675000,0675000,"Stockton city, California",307057,71
1600000US0677000,0677000,"Sunnyvale city, California",152762,46
1600000US0678120,0678120,"Temecula city, California",113062,53
1600000US0678582,0678582,"Thousand Oaks city, California",128915,98
1600000US0680000,0680000,"Torrance city, California",147185,49
1600000US0680238,0680238,"Tracy city, California",89263,50
1600000US0680812,0680812,"Turlock city, California",72808,52
1600000US0680854,0680854,"Tustin city, California",80379,65
1600000US0681204,0681204,"Union City city, California",75316,40
1600000US0681344,0681344,"Upland city, California",76691,36
1600000US0681554,0681554,"Vacaville city, California",98308,39
1600000US0681666,0681666,"Vallejo city, California",121316,67
1600000US0682590,0682590,"Victorville city, California",122283,72
1600000US0682954,0682954,"Visalia city, California",131069,32
1600000US0682996,0682996,"Vista city, California",101665,43
1600000US0683346,0683346,"Walnut Creek city, California",69127,43
1600000US0684200,0684200,"West Covina city, California",107840,44
1600000US0684550,0684550,"Westminster city, California",91565,37
1600000US0685292,0685292,"Whittier city, California",86892,42
1600000US0686832,0686832,"Yorba Linda city, California",68236,30
1600000US0686972,0686972,"Yuba City city, California",66837,34
1600000US0803455,0803455,"Arvada city, Colorado",117308,1134
1600000US0804000,0804000,"Aurora city, Colorado",362249,1157
1600000US0807850,0807850,"Boulder city, Colorado",108108,65
1600000US0809280,0809280,"Broomfield city, Colorado",66529,*****
1600000US0812815,0812815,"Centennial city, Colorado",109935,48
1600000US0816000,0816000,"Colorado Springs city, Colorado",465084,70
1600000US0820000,0820000,"Denver city, Colorado",693060,*****
1600000US0827425,0827425,"Fort Collins city, Colorado",164196,46
1600000US0832155,0832155,"Greeley city, Colorado",104003,50
1600000US0836410,0836410,"Highlands Ranch CDP, Colorado",112436,4512
1600000US0843000,0843000,"Lakewood city, Colorado",154368,98
1600000US0845970,0845970,"Longmont city, Colorado",92813,32
1600000US0846465,0846465,"Loveland city, Colorado",76906,39
1600000US0862000,0862000,"Pueblo city, Colorado",110295,28
1600000US0877290,0877290,"Thornton city, Colorado",136690,55
1600000US0883835,0883835,"Westminster city, Colorado",113865,49
1600000US0908000,0908000,"Bridgeport city, Connecticut",145934,34
1600000US0918430,0918430,"Danbury city, Connecticut",85008,59
1600000US0937000,0937000,"Hartford city, Connecticut",123287,56
1600000US0950370,0950370,"New Britain city, Connecticut",72570,31
1600000US0952000,0952000,"New Haven city, Connecticut",129939,37
1600000US0955990,0955990,"Norwalk city, Connecticut",88440,27
1600000US0973000,0973000,"Stamford city, Connecticut",129105,44
1600000US0980000,0980000,"Waterbury city, Connecticut",108269,36
1600000US1077580,1077580,"Wilmington city, Delaware",71455,47
1600000US1150000,1150000,"Washington city, District of Columbia",681170,*****
1600000US1200410,1200410,"Alafaya CDP, Florida",91779,11033
1600000US1207300,1207300,"Boca Raton city, Florida",96115,31
1600000US1207875,1207875,"Boynton Beach city, Florida",75569,30
1600000US1208150,1208150,"Brandon CDP, Florida",109582,7538
1600000US1210275,1210275,"Cape Coral city, Florida",179795,36
1600000US1212875,1212875,"Clearwater city, Florida",114351,46
1600000US1214400,1214400,"Coral Springs city, Florida",130046,51
1600000US1216475,1216475,"Davie town, Florida",101857,56
1600000US1216525,1216525,"Daytona Beach city, Florida",66649,32
1600000US1216725,1216725,"Deerfield Beach city, Florida",79754,50
1600000US1217100,1217100,"Delray Beach city, Florida",67366,31
1600000US1217200,1217200,"Deltona city, Florida",90139,59
1600000US1224000,1224000,"Fort Lauderdale city, Florida",178764,52
1600000US1224125,1224125,"Fort Myers city, Florida",77154,41
1600000US1225175,1225175,"Gainesville city, Florida",131593,27
1600000US1230000,1230000,"Hialeah city, Florida",236385,42
1600000US1232000,1232000,"Hollywood city, Florida",152007,44
1600000US1232275,1232275,"Homestead city, Florida",68000,34
1600000US1235000,1235000,"Jacksonville city, Florida",880623,26
1600000US1236100,1236100,"Kendall CDP, Florida",77619,6924
1600000US1236950,1236950,"Kissimmee city, Florida",69369,23
1600000US1238250,1238250,"Lakeland city, Florida",106419,38
1600000US1239425,1239425,"Largo city, Florida",83077,48
1600000US1239550,1239550,"Lauderhill city, Florida",71635,40
1600000US1239925,1239925,"Lehigh Acres CDP, Florida",115673,7029
1600000US1243975,1243975,"Melbourne city, Florida",81192,36
1600000US1245000,1245000,"Miami city, Florida",453584,62
1600000US1245025,1245025,"Miami Beach city, Florida",91905,37
1600000US1245060,1245060,"Miami Gardens city, Florida",113045,64
1600000US1245975,1245975,"Miramar city, Florida",138461,51
1600000US1253000,1253000,"Orlando city, Florida",277198,108
1600000US1254000,1254000,"Palm Bay city, Florida",110107,29
1600000US1254200,1254200,"Palm Coast city, Florida",88337,2654
1600000US1255775,1255775,"Pembroke Pines city, Florida",168587,39
1600000US1256825,1256825,"Pine Hills CDP, Florida",76048,9408
1600000US1257425,1257425,"Plantation city, Florida",92717,45
1600000US1258050,1258050,"Pompano Beach city, Florida",109380,44
1600000US1258715,1258715,"Port St. Lucie city, Florida",185136,29
1600000US1260950,1260950,"Riverview CDP, Florida",88941,7618
1600000US1263000,1263000,"St. Petersburg city, Florida",260991,47
1600000US1268350,1268350,"Spring Hill CDP, Florida",111189,4448
1600000US1269700,1269700,"Sunrise city, Florida",93723,45
1600000US1270600,1270600,"Tallahassee city, Florida",190895,40
1600000US1270675,1270675,"Tamarac city, Florida",65190,46
1600000US1271000,1271000,"Tampa city, Florida",377172,68
1600000US1271569,1271569,"The Hammocks CDP, Florida",65814,8141
1600000US1271625,1271625,"The Villages CDP, Florida",71350,3771
1600000US1272145,1272145,"Town 'n' Country CDP, Florida",87561,7803
1600000US1276582,1276582,"Weston city, Florida",70023,40
1600000US1276600,1276600,"West Palm Beach city, Florida",108149,56
1600000US1301052,1301052,"Albany city, Georgia",74904,2458
1600000US1301696,1301696,"Alpharetta city, Georgia",65334,30
1600000US1303440,1303440,"Athens-Clarke County unified government (balance), Georgia",123456,523
1600000US1304000,1304000,"Atlanta city, Georgia",472506,67
1600000US1304204,1304204,"Augusta-Richmond County consolidated government (balance), Georgia",196194,1808
1600000US1319000,1319000,"Columbus city, Georgia",197485,*****
1600000US1342425,1342425,"Johns Creek city, Georgia",83884,50
1600000US1349008,1349008,"Macon-Bibb County, Georgia",152527,251
1600000US1367284,1367284,"Roswell city, Georgia",94592,31
1600000US1368516,1368516,"Sandy Springs city, Georgia",105720,63
1600000US1369000,1369000,"Savannah city, Georgia",146762,29
1600000US1380508,1380508,"Warner Robins city, Georgia",74401,460
